"","output_JJ1715_393_S43_R1_001.fastq_paired.fq_quant","output_JJ1715_394_S44_R1_001.fastq_paired.fq_quant"
"0610007P14Rik",1307,2094.108
"0610009B22Rik",385,452.683
"0610009L18Rik",26,37
"0610009O20Rik",690,795.973
"0610010F05Rik",278.006,437.085
"0610010K14Rik",252.383,394.108
"0610012G03Rik",461.782,711.472
"0610030E20Rik",1171.243,961.665
"0610037L13Rik",371.945,564.87
"0610040J01Rik",1107.237,1363.544
"1110002E22Rik",3,4
"1110004E09Rik",253.967,410.832
"1110008F13Rik",1230.689,1766.889
"1110008L16Rik",338.433,495.458
"1110008P14Rik",115.151,252.859
"1110012L19Rik",280.349,285
"1110017D15Rik",4,1
"1110025L11Rik",0,0
"1110032A03Rik",318.048,456.003
"1110032F04Rik",12,11
"1110034G24Rik",79.011,85.037
"1110037F02Rik",1262.021,1256.584
"1110038F14Rik",389.066,395
"1110051M20Rik",83,105.051
"1110057P08Rik",0,0
"1110059E24Rik",1541.195,1973.635
"1110059G10Rik",442.017,459
"1190002N15Rik",470.876,402
"1190003K10Rik",0,0
"1190005I06Rik",6,25
"1190007I07Rik",128.645,182
"1300017J02Rik",0,0
"1500009C09Rik",3,2
"1500009L16Rik",99,108.451
"1500011B03Rik",79,112
"1500011K16Rik",110,206.713
"1500015O10Rik",6,11
"1520401A03Rik",2,1
"1600002H07Rik",113.04,125.032
"1600002K03Rik",118,185.041
"1600012H06Rik",894.886,883.026
"1600014C23Rik",0,0
"1600015I10Rik",1,0
"1700001C02Rik",0,0
"1700001C19Rik",2.029,8
"1700001J03Rik",0,5
"1700001K19Rik",0,0
"1700001L19Rik",2,3
"1700001O22Rik",6,9
"1700001P01Rik",0,0
"1700003E16Rik",6,6
"1700003F12Rik",0,0
"1700003H04Rik",0,0
"1700006A11Rik",0,0
"1700006E09Rik",0,0
"1700007B14Rik",0,0
"1700007G11Rik",0,0
"1700007K09Rik",0,1
"1700007K13Rik",3,3
"1700008O03Rik",31.041,37.081
"1700008P02Rik",0,0
"1700009N14Rik",0,1
"1700010B08Rik",0,0
"1700010I14Rik",32,45
"1700011E24Rik",0,0
"1700011H14Rik",559.954,355.373
"1700011I03Rik",1,1
"1700011L22Rik",0,0
"1700012A03Rik",0,0
"1700012B07Rik",3.001,3
"1700012B09Rik",0,0
"1700012P22Rik",0,0
"1700013D24Rik",0,0
"1700013F07Rik",3,1
"1700013G24Rik",0,0
"1700013H16Rik",0,0
"1700014D04Rik",0,0
"1700015E13Rik",0,0
"1700015F17Rik",0,0
"1700015G11Rik",0,0
"1700016C15Rik",7,11
"1700016D06Rik",0,0
"1700016H13Rik",1,1
"1700016K19Rik",4,2
"1700017B05Rik",704.991,890.526
"1700017D01Rik",5.001,3
"1700017N19Rik",0,0
"1700018B08Rik",0,0
"1700018C11Rik",0,0
"1700019A02Rik",0,0
"1700019B03Rik",1,0
"1700019D03Rik",468.141,599.412
"1700019N19Rik",0,0
"1700019O17Rik",0,0
"1700020A23Rik",0,0
"1700020D05Rik",0,2
"1700020L24Rik",19,21.036
"1700020N01Rik",2,1
"1700021F05Rik",449.661,746.314
"1700021F07Rik",0,0
